EconState,XPState,TowerState,DragonState,VisionState,FightState,Action,Q_Value,IsBestAction
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,LosingFight,Tower_Push,3.5105648040771484,False
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,LosingFight,Safe_Farm,3.4955458641052246,False
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,LosingFight,Dragon_Control,3.307326316833496,False
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,LosingFight,Vision_Control,3.756221294403076,True
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,LosingFight,Group_Attack,3.473792314529419,False
Econ_Behind,XP_Behind,TowerEven,DragonEven,HighVision,LosingFight,Baron_Control,3.2607977390289307,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,MedVision,EvenFight,Tower_Push,4.236968517303467,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,MedVision,EvenFight,Safe_Farm,4.25329065322876,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,MedVision,EvenFight,Dragon_Control,3.63238525390625,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,MedVision,EvenFight,Vision_Control,4.100882530212402,False
Econ_Even,XP_Ahead,TowerEven,DragonBehind,MedVision,EvenFight,Group_Attack,4.324947357177734,True
Econ_Even,XP_Ahead,TowerEven,DragonBehind,MedVision,EvenFight,Baron_Control,3.9422287940979004,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Tower_Push,3.110042095184326,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Safe_Farm,3.0764389038085938,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Dragon_Control,3.164001703262329,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Vision_Control,3.171224355697632,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Group_Attack,2.9519782066345215,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonEven,MedVision,LosingFight,Baron_Control,3.179938793182373,True
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Tower_Push,4.712552547454834,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Safe_Farm,5.018836975097656,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Dragon_Control,5.2686896324157715,True
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Vision_Control,4.649101257324219,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Group_Attack,5.223916053771973,False
Econ_Crushing,XP_Dominating,TowerEven,DragonAhead,MedVision,WinningFight,Baron_Control,5.217301368713379,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,MedVision,LosingFight,Tower_Push,3.128084182739258,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,MedVision,LosingFight,Safe_Farm,2.935800790786743,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,MedVision,LosingFight,Dragon_Control,2.713167905807495,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,MedVision,LosingFight,Vision_Control,3.2224814891815186,True
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,MedVision,LosingFight,Group_Attack,2.9700958728790283,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonBehind,MedVision,LosingFight,Baron_Control,2.774871587753296,False
Econ_Even,XP_Ahead,TowerEven,DragonAhead,HighVision,EvenFight,Tower_Push,4.4301066398620605,False
Econ_Even,XP_Ahead,TowerEven,DragonAhead,HighVision,EvenFight,Safe_Farm,4.5005106925964355,False
Econ_Even,XP_Ahead,TowerEven,DragonAhead,HighVision,EvenFight,Dragon_Control,4.566184997558594,False
Econ_Even,XP_Ahead,TowerEven,DragonAhead,HighVision,EvenFight,Vision_Control,4.488981246948242,False
Econ_Even,XP_Ahead,TowerEven,DragonAhead,HighVision,EvenFight,Group_Attack,4.507852077484131,False
Econ_Even,XP_Ahead,TowerEven,DragonAhead,HighVision,EvenFight,Baron_Control,4.636346817016602,True
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,LosingFight,Tower_Push,3.789147138595581,False
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,LosingFight,Safe_Farm,3.7960898876190186,False
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,LosingFight,Dragon_Control,3.517704725265503,False
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,LosingFight,Vision_Control,3.9303948879241943,True
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,LosingFight,Group_Attack,3.6609139442443848,False
Econ_Behind,XP_Even,TowerEven,DragonEven,HighVision,LosingFight,Baron_Control,3.5722832679748535,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Tower_Push,3.509364366531372,False
